level1,level2,pattern,weight
liwc,affect,dismay*,1
liwc,affect,dissatisf*,1
liwc,affect,distract*,1
liwc,affect,distraught,1
liwc,affect,distress*,1
liwc,affect,distrust*,1
liwc,affect,disturb*,1
liwc,affect,divin*,1
liwc,affect,domina*,1
liwc,affect,doom*,1
liwc,affect,dork*,1
liwc,affect,doubt*,1
liwc,affect,dread*,1
liwc,affect,dull*,1
liwc,affect,dumb*,1
liwc,affect,dump*,1
liwc,affect,dwell*,1
liwc,affect,dynam*,1
liwc,affect,eager*,1
liwc,affect,ease*,1
liwc,affect,easie*,1
liwc,affect,easily,1
liwc,affect,easiness,1
liwc,affect,easing,1
liwc,affect,easy*,1
liwc,affect,ecsta*,1
liwc,affect,efficien*,1
liwc,affect,egotis*,1
liwc,affect,elegan*,1
liwc,affect,embarrass*,1
liwc,affect,emotion,1
liwc,affect,emotional,1
liwc,affect,empt*,1
liwc,affect,encourag*,1
liwc,affect,enemie*,1
liwc,affect,enemy*,1
liwc,affect,energ*,1
liwc,affect,engag*,1
liwc,affect,enjoy*,1
liwc,affect,enrag*,1
liwc,affect,entertain*,1
liwc,affect,enthus*,1
liwc,affect,envie*,1
liwc,affect,envious,1
liwc,affect,envy*,1
liwc,affect,evil*,1
liwc,affect,excel*,1
liwc,affect,excit*,1
liwc,affect,excruciat*,1
liwc,affect,exhaust*,1
liwc,affect,fab,1
liwc,affect,fabulous*,1
liwc,affect,fail*,1
liwc,affect,faith*,1
liwc,affect,fake,1
